External Library Name, Link to License, License Name, Binaries using the license.
libwebp, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp/LICENSE, BSD-3-Clause, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libwebp/third_party/chromium_headless/libwebp
Tink, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master/LICENSE, Apache-2.0, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/tink/+/refs/heads/upstream-master
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
libyuv, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/LICENSE, BSD-3-Clause, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/
mynewt-nmble, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/mynewt-nimble/LICENSE, Apache=2.0, ./nimble_bridge.exe, 
fdt, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master/README.license, BSD-2-Clause, ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master
Qt Network, https://doc.qt.io/qt-5.12/qtNetwork-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
jsoncpp, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master/LICENSE, MIT, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master
Qt WebChannel, https://doc.qt.io/qt-5.12/qtWebChannel-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-i386.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./nimble_bridge.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-i386-headless.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
flatbuffers, Apache-2.0, Apache-2.0, ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-check.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe, https://github.com/google/flatbuffers
